count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
1,"She shrugged and, as she loudly popped her bubblegum, replied, “Sure, honey, this way.”",1.0,1.0,None,9.0,None,None,None,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,1,7.136308403001749,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,She led them to the requested booth in the back corner of the diner.  ,2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,9,5.786709499996505,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"“Is this alright?”, the hostess asked.",2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,1,0.853840041992953,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"Thomas replied, “This is great- thank you.”",2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,1,0.8696874869929161,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,Sadie slipped into the cushioned seat and grabbed Thomas’ hand.,2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,1,2.385784166006488,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"“Tell me about your day!”, Sadie sang as Thomas sat down.",2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,9,3.2506875780090922,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,He looked at her silently and pulled his hand slowly from hers.,2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,1,0.9699668290122645,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,Sadie gave him a puzzled look.,2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,1,0.7366206320002675,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,Thomas looked away and took a deep breath. ,2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,1,1.3528767020034138,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"Sadie asked, “What’s wrong?” ",2.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,1,1.3338799119956093,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
