count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,None,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.720076904981397,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"But honestly, your company doesn’t have the resources to reach international markets right now.",2,2,None,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.619657120027114,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"Maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,None,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.970166442974005,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,I think we should join forces.”,2,2,None,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3698889950173907,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,The waitress arrived and asked if they were ready to order.,3,2,None,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.519871975004207,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"Mr. Gordon chose the medium-rare steak and a martini, and Mr. Shelton ordered the veal and a manhattan. ",3,2,None,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.670811147952918,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,None,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.935078909969889,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",3,2,None,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.384612997993827,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"Mr. Gordon looked at Mr. Shelton skeptically for a few moments considering his response until he said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,None,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.268210879992694,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,None,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.301364033017308,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,None,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.6527513649780303,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,Mr. Shelton had expected this response and had come prepared.,3,3,None,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.485790759033989,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,None,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.736722328001633,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"He also played out projections of how Mr. Gordon’s company could out-compete their own main competitor in the industry, TechJet, by using the resources of a larger corporation. ",3,3,None,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.52142298797844,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,None,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.603210345027037,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
1,The waitress brought out their food on a large tray.,4,3,None,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.970464505022392,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p3,001,2019_Jun_27_1618,body_behavioural,3.0.4,60.067534065175934,
