count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
1,I don’t think I can do this anymore. ,2,2,,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1344860609999614,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0682872979999729,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1," I’m tired of the constant fighting, and I feel like when we try to do anything fun anymore it ends up unpleasant for the stupidest reasons, and I am just past  trying to work things out.”",2,2,,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08484377900003892,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1007303909999564,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,They headed to the checkout area where there was only one station open but it was not crowded at all.,3,2,,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001559997999947882,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,Emmanuella sighed and got in line while Liam pretended to be interested in the magazine racks as he thought. ,3,2,,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03518314799998734,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.050393521999922086,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.18588148200001342,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1, Liam scoffed and walked off to quickly get it.,3,3,,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.16836690100001306,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.31848137600002246,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.00027238999996370694,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13497307800003,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
