count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
1," I’m tired of the constant fighting, and I feel like when we try to do anything fun anymore it ends up unpleasant for the stupidest reasons, and I am just past  trying to work things out.”",2,2,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,9,0.06832495300113806,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Liam refused to look at her as she picked out sauces for the pasta, and then she threw up her hands, saying, “You know what, if this party is still happening we are going to just eat pasta.”",2,2,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,9,0.06836396399921796,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,They headed to the checkout area where there was only one station open but it was not crowded at all.,3,2,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,1,0.018311306999748922,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,Emmanuella sighed and got in line while Liam pretended to be interested in the magazine racks as he thought. ,3,2,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,9,0.0016712809992895927,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Finally he turned to her and sighed, “Yes, I was thinking the same thing - I think we could definitely be happier with other people.” ",3,3,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,1,0.08449243100039894,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"As if she hadn't heard him, Emmanuella looked at their cart and said, “I'm not sure this will be enough, could you grab another box of pasta?”",3,3,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,9,0.11727568599962979,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1, Liam scoffed and walked off to quickly get it.,3,3,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,1,0.0006330110009002965,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"As Emmanuella waited in line, she took a moment to compose herself, deciding that there was no reason to continue making a scene in the store. ",3,3,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,9,0.05133808500067971,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1," Right when Liam came back with the pasta, the cashier started scanning their groceries.",4,3,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,1,0.018832519999705255,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"The cost came to $30, and Emmanuella paid with her credit card.",4,3,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,9,0.06794251799874473,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
