count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
1,"She held up her hand to admire it, and her glittering tears of joy matched the shine from her ring.   
",4,4,17.0,5.0,0,1,1,1,,,,,0,35,35,35,,,,,,,,,,,1,0.18493123999905947,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,space,0.9009359209994727,space,0.8516485670006659,space,3.1344783099993947,,,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,9,2.219378518000667,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,Mr. Shelton and Mr. Gordon both were CEOs of airplane manufacturing companies.,1,1,,,0,2,2,2,,,,,0,1,1,1,,,,,,,,,,,1,0.12163299300118524,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"Mr. Shelton was in charge of a larger, well-established company and had been in the aviation business for decades, whereas Mr. Gordon led a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ",1,1,,,0,2,2,2,,,,,0,2,2,2,,,,,,,,,,,1,0.08366594000108307,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"The restaurant they chose to meet at was old and fancy with high ceilings, dark wood paneling, and crystal chandeliers.",1,1,,,0,2,2,2,,,,,0,3,3,3,,,,,,,,,,,9,0.018598482000015792,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"The waitress led them to their table in the back, and they settled into a private table in the corner by the fireplace. ",2,1,,,0,2,2,2,,,,,0,4,4,4,,,,,,,,,,,1,0.08397440599947004,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,The waitress brought out the menus and they broke the ice with some small talk.,2,1,,,0,2,2,2,,,,,0,5,5,5,,,,,,,,,,,9,0.03755373199965106,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
2,"Mr. Gordon took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon boasted about his purchase of a Tesla. ",2,1,,,0,2,2,2,,,,,0,6,6,6,,,,,,,,,,,1,0.06697861999964516,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
