count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
,,,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.43522223795298487,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.3996370800305158,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.4185109440004453,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,space,0.3834228999912739,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7674423140706494,,,,,,
